,temperature,humidity,ph,rainfall,label,N,P,K
0,20.87974371,82.00274423,6.502985292,202.9355362,rice,80,40,40
1,21.77046169,80.31964408,7.038096361,226.6555374,rice,80,40,40
2,23.00445915,82.3207629,7.840207144,263.9642476,rice,80,40,40
3,26.49109635,80.15836264,6.980400905,242.8640342,rice,80,40,40
4,20.13017482,81.60487287,7.628472891,262.7173405,rice,80,40,40
5,23.05804872,83.37011772,7.073453503,251.0549998,rice,80,40,40
6,22.70883798,82.63941394,5.70080568,271.3248604,rice,80,40,40
7,20.27774362,82.89408619,5.718627178,241.9741949,rice,80,40,40
8,24.51588066,83.5352163,6.685346424,230.4462359,rice,80,40,40
9,23.22397386,83.03322691,6.336253525,221.2091958,rice,80,40,40
10,26.52723513,81.41753846,5.386167788,264.6148697,rice,80,40,40
11,23.97898217,81.45061596,7.50283396,250.0832336,rice,80,40,40
12,26.80079604,80.88684822,5.108681786,284.4364567,rice,80,40,40
13,24.01497622,82.05687182,6.98435366,185.2773389,rice,80,40,40
14,25.66585205,80.66385045,6.94801983,209.5869708,rice,80,40,40
15,24.28209415,80.30025587,7.042299069,231.0863347,rice,80,40,40
16,21.58711777,82.7883708,6.249050656,276.6552459,rice,80,40,40
17,23.79391957,80.41817957,6.970859754,206.2611855,rice,80,40,40
18,21.8652524,80.1923008,5.953933276,224.5550169,rice,80,40,40
19,23.57943626,83.58760316,5.85393208,291.2986618,rice,80,40,40
20,21.32504158,80.47476396,6.442475375,185.4974732,rice,80,40,40
21,25.15745531,83.11713476,5.070175667,231.3843163,rice,80,40,40
22,21.94766735,80.97384195,6.012632591,213.3560921,rice,80,40,40
23,21.0525355,82.67839517,6.254028451,233.1075816,rice,80,40,40
24,23.48381344,81.33265073,7.375482851,224.0581164,rice,80,40,40
25,25.0756354,80.52389148,7.778915154,257.0038865,rice,80,40,40
26,26.35927159,84.04403589,6.286500176,271.3586137,rice,80,40,40
